tconst,primaryTitle,averageRating,numVotes,startYear,genres
tt0099810,The Hunt for Red October,7.5,209777,1990,"Action,Adventure,Thriller"
tt0099812,The Prisoner,5.7,3836,1990,"Action,Crime,Drama"
tt0099816,Shipwrecked,6.5,3057,1990,"Adventure,Family"
tt0099817,Dark Angel,6.1,13306,1990,"Action,Crime,Horror"
tt0099818,I Hired a Contract Killer,7.2,6753,1990,"Comedy,Crime,Drama"
tt0099819,I Love You to Death,6.4,15195,1990,"Comedy,Crime"
tt0099832,Impulse,5.7,1435,1990,"Crime,Drama,Thriller"
tt0099850,Internal Affairs,6.5,21932,1990,"Crime,Drama,Thriller"
tt0099856,The Invisible Maniac,4.2,3416,1990,"Comedy,Horror,Sci-Fi"
tt0099871,Jacob's Ladder,7.4,115258,1990,"Drama,Horror,Mystery"
tt0099878,Jetsons: The Movie,5.5,5577,1990,"Animation,Comedy,Family"
tt0099892,Joe Versus the Volcano,5.9,39153,1990,"Comedy,Romance"
tt0099902,Ju Dou,7.6,8835,1990,"Drama,Romance"
tt0099935,Killer Tomatoes Strike Back!,3.7,1681,1991,Comedy
tt0099938,Kindergarten Cop,6.2,158594,1990,"Action,Comedy,Crime"
tt0099939,King of New York,6.9,40550,1990,"Crime,Thriller"
tt0099949,Korczak,7.4,1549,1990,"Biography,Drama,War"
tt0099951,The Krays,6.6,8875,1990,"Biography,Crime,Drama"
tt0099969,Lambada,3.4,1163,1990,Drama
tt0099991,The Last of the Finest,5.8,1587,1990,"Action,Crime,Drama"
tt0099994,Leatherface: Texas Chainsaw Massacre III,5.0,18640,1990,"Horror,Thriller"
tt0100014,Erotic Ghost Story,5.7,1014,1990,"Fantasy,Horror"
tt0100024,Life Is Sweet,7.4,11024,1990,"Comedy,Drama"
tt0100029,Lionheart,6.2,38656,1990,"Action,Crime,Drama"
tt0100031,Lisa,5.9,2243,1990,"Drama,Horror,Thriller"
tt0100046,The Long Walk Home,7.3,4636,1990,"Drama,History"
tt0100047,Legend of the Dragon,6.4,1124,1991,"Action,Adventure,Comedy"
tt0100050,Look Who's Talking Too,4.6,48232,1990,"Comedy,Family,Romance"
tt0100053,Loose Cannons,4.9,5061,1990,"Action,Comedy,Crime"
tt0100054,Lord of the Flies,6.4,32617,1990,"Adventure,Drama,Thriller"
tt0100065,Love at Large,5.7,1439,1990,"Comedy,Drama,Mystery"
tt0100070,Xuxa in Crystal Moon,4.5,1091,1990,"Comedy,Family,Fantasy"
tt0100083,Macken - Roy's & Roger's Bilservice,6.0,1146,1990,Comedy
tt0100087,Madhouse,5.4,3527,1990,Comedy
tt0100107,Maniac Cop 2,5.9,8250,1990,"Action,Crime,Horror"
tt0100112,The Hairdresser's Husband,7.2,10200,1990,"Comedy,Drama,Romance"
tt0100114,Marked for Death,5.9,23760,1990,"Action,Crime,Drama"
tt0100129,Meet the Applegates,5.4,2541,1990,"Comedy,Fantasy,Horror"
tt0100133,Memphis Belle,6.9,29787,1990,"Action,Drama,War"
tt0100134,Men Don't Leave,6.6,2692,1990,"Comedy,Drama"
tt0100135,Men at Work,5.9,26012,1990,"Action,Comedy,Crime"
tt0100140,Mermaids,6.7,34854,1990,"Comedy,Drama,Romance"
tt0100142,Metropolitan,7.3,12038,1990,"Comedy,Drama,Romance"
tt0100143,Miami Blues,6.4,9875,1990,"Comedy,Crime,Drama"
tt0100148,Midnight Ride,5.1,1108,1990,"Action,Horror,Thriller"
tt0100150,Miller's Crossing,7.7,139722,1990,"Crime,Drama,Thriller"
tt0100151,Mindwalk,7.6,3204,1990,Drama
tt0100152,Mindwarp,5.2,2792,1991,"Horror,Sci-Fi,Thriller"
tt0100156,Mirror Mirror,5.5,2059,1990,"Horror,Thriller"
tt0100157,Misery,7.8,226919,1990,"Drama,Thriller"
tt0100161,Mister Frost,5.9,2749,1990,"Crime,Drama,Horror"
tt0100168,Mo' Better Blues,6.7,13311,1990,"Drama,Music,Romance"
tt0100196,Mountains of the Moon,7.1,4124,1990,"Adventure,Drama,History"
tt0100200,Mr. & Mrs. Bridge,6.6,3359,1990,Drama
tt0100201,Mr. Destiny,6.4,13025,1990,"Comedy,Fantasy,Romance"
tt0100212,My Blue Heaven,6.2,22133,1990,"Comedy,Crime"
tt0100224,Narrow Margin,6.6,10020,1990,"Action,Crime,Thriller"
tt0100232,Navy Seals,5.5,17641,1990,"Action,Adventure,Thriller"
tt0100234,Close-Up,8.2,21949,1990,"Biography,Crime,Drama"
tt0100240,The NeverEnding Story II: The Next Chapter,5.1,27064,1990,"Adventure,Drama,Family"
tt0100258,Night of the Living Dead,6.8,44542,1990,Horror
tt0100260,Nightbreed,6.5,25514,1990,"Action,Fantasy,Horror"
tt0100263,Nikita,7.3,75041,1990,"Action,Crime,Drama"
tt0100264,Nils Karlsson Pyssling,5.7,1097,1990,"Family,Fantasy"
tt0100266,"No Retreat, No Surrender 3: Blood Brothers",5.2,1018,1990,"Action,Crime,Drama"
tt0100274,New Wave,6.5,1564,1990,Drama
tt0100280,Nuns on the Run,6.0,8818,1990,"Comedy,Crime"
tt0100281,The Nutcracker Prince,6.8,2569,1990,"Adventure,Animation,Family"
tt0100301,Opportunity Knocks,6.0,3294,1990,Comedy
tt0100303,Operation Corned Beef,6.1,2956,1991,"Action,Comedy,Romance"
tt0100318,Pacific Heights,6.4,22027,1990,Thriller
tt0100332,Paris Is Burning,8.2,17019,1990,Documentary
tt0100337,Pasport,7.4,1169,1990,"Adventure,Comedy,Drama"
tt0100369,The Pit and the Pendulum,6.0,5282,1991,"Horror,Romance"
tt0100395,Postcards from the Edge,6.7,18910,1990,"Comedy,Drama"
tt0100403,Predator 2,6.3,177897,1990,"Action,Horror,Sci-Fi"
tt0100404,Presumed Innocent,6.9,44724,1990,"Mystery,Thriller"
tt0100405,Pretty Woman,7.1,344712,1990,"Comedy,Romance"
tt0100419,Problem Child,5.4,32354,1990,"Comedy,Family"
tt0100436,Pump Up the Volume,7.2,30543,1990,"Comedy,Drama,Music"
tt0100442,Q&A,6.6,6740,1990,"Crime,Drama,Thriller"
tt0100449,Quick Change,6.8,21781,1990,"Comedy,Crime"
tt0100456,The Rainbow Thief,5.8,1481,1990,"Drama,Fantasy"
tt0100469,The Reflecting Skin,6.7,9111,1990,"Drama,Horror,Thriller"
tt0100470,Journey of Hope,7.5,2200,1990,"Adventure,Drama"
tt0100475,Repossessed,4.8,9486,1990,"Comedy,Fantasy,Horror"
tt0100477,The Rescuers Down Under,6.8,45895,1990,"Adventure,Animation,Comedy"
tt0100485,Revenge,6.2,20033,1990,"Action,Crime,Drama"
tt0100486,Reversal of Fortune,7.2,17886,1990,"Biography,Drama,Mystery"
tt0100491,Riff-Raff,7.0,4781,1991,"Comedy,Drama"
tt0100496,My New Partner at the Races,6.2,2159,1990,"Action,Comedy,Crime"
tt0100502,RoboCop 2,5.8,90497,1990,"Action,Crime,Sci-Fi"
tt0100504,Rock 'n' Roll High School Forever,4.6,1281,1991,"Comedy,Music"
tt0100506,Rockula,5.2,1191,1990,"Comedy,Horror,Musical"
tt0100507,Rocky V,5.3,147380,1990,"Drama,Sport"
tt0100508,Rodrigo D: No futuro,6.9,1040,1990,"Crime,Drama,Music"
tt0100514,The Rookie,5.9,28724,1990,"Action,Crime,Drama"
tt0100519,Rosencrantz & Guildenstern Are Dead,7.3,23463,1990,"Comedy,Drama"
tt0100530,The Russia House,6.1,17083,1990,"Drama,Romance,Thriller"
tt0100536,"No Fear, No Die",6.7,1178,1990,Drama
tt0100557,The Nasty Girl,7.3,2714,1990,"Comedy,Drama,History"
tt0100581,The Sect,6.1,3101,1991,Horror
tt0100586,Shadowzone,5.1,1270,1990,"Horror,Sci-Fi"
tt0100589,Shakma,5.0,2420,1990,"Horror,Sci-Fi,Thriller"
tt0100594,The Sheltering Sky,6.7,13471,1990,"Adventure,Drama"
tt0100602,A Shock to the System,6.6,5643,1990,"Comedy,Crime,Thriller"
tt0100604,Short Time,6.4,2573,1990,"Action,Comedy,Crime"
tt0100608,The Shrimp on the Barbie,5.6,1451,1990,Comedy
tt0100611,Sibling Rivalry,5.4,2922,1990,Comedy
tt0100613,Side Out,5.5,2288,1990,"Comedy,Drama,Romance"
tt0100623,Singapore Sling,6.4,2622,1990,"Drama,Horror"
tt0100625,A Chinese Ghost Story II,6.9,3870,1990,"Action,Comedy,Fantasy"
tt0100631,Ski Patrol,5.1,4028,1990,"Action,Comedy,Sport"
tt0100639,Slumber Party Massacre III,4.5,3330,1990,"Comedy,Horror"
tt0100649,Solar Crisis,4.1,2010,1990,"Sci-Fi,Thriller"
tt0100663,Sorority House Massacre II,4.8,2325,1990,"Comedy,Crime,Horror"
tt0100665,Soultaker,2.4,3911,1990,"Fantasy,Horror"
tt0100666,Spaced Invaders,5.3,3870,1990,"Adventure,Comedy,Sci-Fi"
tt0100680,Stanley & Iris,6.3,8327,1990,"Drama,Romance"
tt0100681,Everybody's Fine,7.7,4261,1990,Drama
tt0100685,State of Grace,7.2,24117,1990,"Action,Crime,Drama"
tt0100688,Steel and Lace,5.2,1112,1990,"Action,Horror,Sci-Fi"
tt0100691,Stella,6.1,2804,1990,"Drama,Romance"
tt0100699,On Tour,7.0,1029,1990,"Comedy,Drama"
tt0100740,Tales from the Darkside: The Movie,6.2,18829,1990,"Comedy,Fantasy,Horror"
tt0100747,Auntie Danielle,7.1,3666,1990,"Comedy,Drama,Romance"
tt0100757,Taxi Blues,7.3,1934,1990,"Comedy,Drama"
tt0100758,Teenage Mutant Ninja Turtles,6.8,102362,1990,"Action,Adventure,Comedy"
tt0100777,A Moment of Romance,7.3,1547,1990,"Action,Crime,Drama"
tt0100791,To Sleep with Anger,7.2,2829,1990,Drama
tt0100802,Total Recall,7.5,346166,1990,"Action,Adventure,Sci-Fi"
tt0100814,Tremors,7.1,145753,1990,"Comedy,Horror"
tt0100822,Tune in Tomorrow...,6.1,1972,1990,"Comedy,Romance"
tt0100827,Two Evil Eyes,6.1,7805,1990,Horror
tt0100828,The Two Jakes,6.1,15117,1990,"Crime,Drama,Mystery"
tt0100851,Uranus,7.0,1440,1990,"Comedy,Drama,History"
tt0100873,Vincent & Theo,6.9,4127,1990,"Biography,Drama"
tt0100881,Voices from Beyond,5.0,1274,1991,"Horror,Mystery,Thriller"
tt0100904,Watchers II,4.3,1265,1990,"Horror,Sci-Fi"
tt0100911,"Welcome Home, Roxy Carmichael",5.8,5793,1990,"Comedy,Drama"
tt0100912,Werner - Beinhart!,6.7,6092,1990,"Action,Animation,Comedy"
tt0100924,Where the Heart Is,5.9,1747,1990,"Comedy,Drama"
tt0100928,White Hunter Black Heart,6.5,12976,1990,"Adventure,Drama"
tt0100931,Why Me?,5.8,1348,1990,"Action,Adventure,Comedy"
tt0100935,Wild at Heart,7.2,98605,1990,"Crime,Drama,Thriller"
tt0100944,The Witches,6.8,53259,1990,"Adventure,Comedy,Family"
tt0100963,King of Beggars,6.8,4082,1992,"Action,Comedy,Drama"
tt0100967,Tiger Cage II,6.9,1262,1990,"Action,Comedy,Crime"
tt0100973,The Swordsman,6.8,2503,1990,"Action,History"
tt0100975,Xtro II: The Second Encounter,3.4,1826,1991,"Action,Drama,Fantasy"
tt0100991,Hiruko the Goblin,6.0,1608,1991,"Comedy,Fantasy,Horror"
tt0100994,Young Guns II,6.5,38194,1990,"Action,Drama,Western"
tt0100998,Dreams,7.7,28207,1990,"Drama,Fantasy"
tt0101004,Zandalee,4.3,4065,1991,"Drama,Romance,Thriller"
tt0101020,Once a Thief,6.7,7062,1991,"Action,Comedy,Crime"
tt0101025,"Oh, Carmela!",7.1,3216,1990,"Comedy,Drama,War"
tt0101244,100 Days,6.4,1133,1991,"Horror,Romance,Thriller"
tt0101252,29th Street,7.2,3080,1991,"Comedy,Drama"
tt0101256,976-Evil II,4.3,1824,1991,Horror
tt0101258,Days of Being Wild,7.4,24553,1990,"Crime,Drama,Romance"
tt0101264,"Abraxas, Guardian of the Universe",2.9,2273,1990,"Action,Drama,Sci-Fi"
tt0101268,Across the Tracks,5.7,2635,1990,"Drama,Sport"
tt0101272,The Addams Family,6.9,174170,1991,"Comedy,Fantasy"
tt0101273,The Adjuster,6.6,3669,1991,"Comedy,Drama"
tt0101276,Afraid of the Dark,5.8,1296,1991,"Drama,Fantasy,Horror"
tt0101279,The Stranger,8.0,4258,1991,Drama
